the_index,Title,DomesticTotalGross,RunTime,ReleaseDate,Director,ProductionBudget,InRelease,MpaaRating,Distributor,Genre,Nominations,Wins,IntDayOfTheYear,IntMonthOfTheYear,DayOfTheYear^2,OpeningGross,OpeningRank,OpeningRatio,GenreMap_Comedy
http://www.boxofficemojo.com/movies/?id=whatliesbeneath.htm,What Lies Beneath,155464351.0,130.0,2000-07-21,Robert Zemeckis,100000000.0,196,PG-13,DreamWorks,Horror,0,0,203,7,41209,29702959.0,1.0,19.10596146894152,0
http://www.boxofficemojo.com/movies/?id=wildwildwest.htm,Wild Wild West,113804681.0,107.0,1999-06-30,Barry Sonnenfeld,170000000.0,103,PG-13,Warner Bros.,Western Comedy,0,0,181,6,32761,27687484.0,1.0,24.32895005434794,1
http://www.boxofficemojo.com/movies/?id=28dayslater.htm,28 Days Later,45064915.0,113.0,2003-06-27,Danny Boyle,8000000.0,126,R,Fox Searchlight,Horror,0,0,178,6,31684,10061858.0,4.0,22.327475820158543,0
http://www.boxofficemojo.com/movies/?id=2fast2furious.htm,2 Fast 2 Furious,127154901.0,101.0,2003-06-06,John Singleton,76000000.0,133,PG-13,Universal,Action,0,0,157,6,24649,50472480.0,1.0,39.69369611636126,0
http://www.boxofficemojo.com/movies/?id=50firstdates.htm,50 First Dates,120908074.0,96.0,2004-02-13,Peter Segal,75000000.0,147,PG-13,Sony / Columbia,Romantic Comedy,0,0,44,2,1936,39852237.0,1.0,32.96077398437428,0
http://www.boxofficemojo.com/movies/?id=8mile.htm,8 Mile,116750901.0,118.0,2002-11-08,Curtis Hanson,41000000.0,140,R,Universal,Music Drama,1,1,312,11,97344,51240555.0,1.0,43.888787633424776,0
http://www.boxofficemojo.com/movies/?id=abandon.htm,Abandon,10727683.0,99.0,2002-10-18,Stephen Gaghan,25000000.0,63,PG-13,Paramount,Thriller,0,0,291,10,84681,5064077.0,7.0,47.20569203993071,0
http://www.boxofficemojo.com/movies/?id=afterthesunset.htm,After the Sunset,28331233.0,98.0,2004-11-12,Brett Ratner,60000000.0,84,PG-13,New Line,Romantic Thriller,0,0,317,11,100489,11100392.0,3.0,39.18075856423192,0
http://www.boxofficemojo.com/movies/?id=alamo.htm,The Alamo,22414961.0,137.0,2004-04-09,John Lee Hancock,107000000.0,105,PG-13,Buena Vista,War,0,0,100,4,10000,9124701.0,4.0,40.708083319886214,0
http://www.boxofficemojo.com/movies/?id=alexandemma.htm,Alex and Emma,14218698.0,100.0,2003-06-20,Rob Reiner,30000000.0,56,PG-13,Warner Bros.,Romantic Comedy,0,0,171,6,29241,6111074.0,7.0,42.97913915887376,0
